INFO:root:Reading from Pet dataset.
INFO:root:0 training and 1 validation examples.
INFO:root:On image 0 of 1
INFO:root:Cattest_1.jpg box size xmin:98, xmax:455, ymin:61, ymax:340
INFO:root:Abyssinian_89.jpg box size xmin:1, xmax:481, ymin:1, ymax:340
INFO:root:Abyssinian_76.jpg box size xmin:105, xmax:226, ymin:170, ymax:330
INFO:root:Abyssinian_4.jpg box size xmin:5, xmax:328, ymin:93, ymax:498
INFO:root:Abyssinian_36.jpg box size xmin:161, xmax:328, ymin:21, ymax:358
INFO:root:Abyssinian_9.jpg box size xmin:1, xmax:447, ymin:84, ymax:361
INFO:root:Abyssinian_96.jpg box size xmin:131, xmax:292, ymin:122, ymax:473
INFO:root:Abyssinian_12.jpg box size xmin:83, xmax:248, ymin:76, ymax:445
INFO:root:Abyssinian_67.jpg box size xmin:22, xmax:357, ymin:9, ymax:264
INFO:root:Abyssinian_86.jpg box size xmin:6, xmax:322, ymin:48, ymax:363
INFO:root:Abyssinian_19.jpg box size xmin:1, xmax:399, ymin:13, ymax:338
INFO:root:Abyssinian_80.jpg box size xmin:403, xmax:1032, ymin:3, ymax:800
INFO:root:Abyssinian_20.jpg box size xmin:158, xmax:324, ymin:27, ymax:372
INFO:root:Abyssinian_25.jpg box size xmin:1, xmax:243, ymin:46, ymax:333
INFO:root:Abyssinian_37.jpg box size xmin:522, xmax:1600, ymin:318, ymax:927
INFO:root:Abyssinian_43.jpg box size xmin:110, xmax:310, ymin:132, ymax:349
INFO:root:Abyssinian_47.jpg box size xmin:1, xmax:492, ymin:1, ymax:332
INFO:root:Abyssinian_11.jpg box size xmin:29, xmax:181, ymin:52, ymax:229
INFO:root:Abyssinian_21.jpg box size xmin:1, xmax:497, ymin:58, ymax:332
INFO:root:Abyssinian_91.jpg box size xmin:52, xmax:252, ymin:1, ymax:260
